,Year,Type of Offence,UNIT,VALUE
413,2004,Aggravated burglary,Number,68.0
414,2004,Burglary (not aggravated),Number,5484.0
415,2004,"Possession of an article (with intent to burgle, steal, demand)",Number,52.0
416,2004,Theft and related offences,Number,18016.0
417,2004,Theft/taking of vehicle and related offences,Number,3642.0
418,2004,Theft from person,Number,1462.0
419,2004,Theft from shop,Number,3470.0
420,2004,"Other thefts, handling stolen property",Number,9442.0
421,2004,"Fraud, deception and related offences",Number,713.0
422,2004,Controlled drug offences,Number,2535.0
423,2004,Importation of drugs,Number,16.0
424,2004,Cultivation or manufacture of drugs,Number,13.0
425,2004,Possession of drugs for sale or supply,Number,542.0
426,2004,Possession of drugs for personal use,Number,1860.0
427,2004,Other drug offences,Number,104.0
428,2004,Weapons and Explosives Offences,Number,532.0
429,2004,"Explosives, chemical weapons offences",Number,4.0
430,2004,Discharging a firearm,Number,78.0
431,2004,Possession of a firearm,Number,97.0
432,2004,Offensive weapons offences (n.e.c.),Number,353.0
433,2004,Fireworks offences,Number,0.0
434,2004,Damage to property and to the environment,Number,8861.0
435,2004,Arson,Number,413.0
436,2004,Criminal damage (not arson),Number,8421.0
437,2004,Litter offences,Number,27.0
438,2004,Public order and other social code offences,Number,11133.0
439,2004,Disorderly conduct,Number,9054.0
440,2004,Trespass offences,Number,464.0
441,2004,Liquor licensing offences,Number,1312.0
442,2004,Prostitution offences,Number,73.0
443,2004,"Regulated betting/money, collection/trading offences",Number,65.0
444,2004,Social code offences (n.e.c.),Number,165.0
445,2004,"Offences against government, justice procedures and organisation of crime",Number,1534.0
446,2004,Offences against government and its agents,Number,28.0
447,2004,Organisation of crime and conspiracy to commit crime,Number,4.0
448,2004,Perverting the course of justice,Number,76.0
449,2004,"Offences while in custody, breach of court orders",Number,1426.0
450,2004,Homicide offences,Number,33.0
451,2004,Murder,Number,8.0
452,2004,Manslaughter,Number,3.0
453,2004,Infanticide,Number,0.0
454,2004,Dangerous driving leading to death,Number,22.0
455,2004,Sexual offences,Number,328.0
456,2004,Rape of a male or female,Number,100.0
457,2004,Defilement of a boy or girl less than 17 years old,Number,20.0
458,2004,Sexual offence involving mentally impaired person,Number,2.0
459,2004,Aggravated sexual assault,Number,3.0
460,2004,Sexual assault (not aggravated),Number,199.0
461,2004,Other sexual offences,Number,4.0
462,2004,"Attempts/threats to murder, assaults, harassments and related offences",Number,3331.0
463,2004,Murder-attempt,Number,1.0
464,2004,Threat to kill or cause serious harm,Number,15.0
465,2004,Harassment and related offences,Number,205.0
466,2004,"Assault causing harm, poisoning",Number,987.0
467,2004,Other assault,Number,2123.0
468,2004,Dangerous or negligent acts,Number,3193.0
469,2004,Dangerous driving causing serious bodily harm,Number,3.0
470,2004,Driving/in charge of a vehicle while over legal alcohol limit,Number,3059.0
471,2004,Driving/in charge of a vehicle under the influence of drugs,Number,20.0
472,2004,Endangerment with potential for serious harm/death,Number,23.0
473,2004,"Abandoning a child, child neglect and cruelty",Number,57.0
474,2004,Unseaworthy/dangerous use of boat or ship,Number,0.0
475,2004,False alarm/interference with aircraft or air transport facilities,Number,6.0
476,2004,Endangering traffic offences,Number,25.0
477,2004,Kidnapping and related offences,Number,22.0
478,2004,False imprisonment,Number,20.0
479,2004,Abduction of person under 16 years of age,Number,2.0
480,2004,Human trafficking offences,Number,0.0
481,2004,"Robbery, extortion and hijacking offences",Number,607.0
482,2004,Robbery of an establishment or institution,Number,242.0
483,2004,Robbery of cash or goods in transit,Number,9.0
484,2004,Robbery from the person,Number,327.0
485,2004,Blackmail or extortion,Number,1.0
486,2004,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,28.0
487,2004,Burglary and related offences,Number,6074.0
488,2004,Aggravated burglary,Number,64.0
489,2004,Burglary (not aggravated),Number,5968.0
490,2004,"Possession of an article (with intent to burgle, steal, demand)",Number,42.0
491,2004,Theft and related offences,Number,18525.0
492,2004,Theft/taking of vehicle and related offences,Number,3587.0
493,2004,Theft from person,Number,1399.0
494,2004,Theft from shop,Number,3567.0
495,2004,"Other thefts, handling stolen property",Number,9972.0
496,2004,"Fraud, deception and related offences",Number,734.0
497,2004,Controlled drug offences,Number,2914.0
498,2004,Importation of drugs,Number,5.0
499,2004,Cultivation or manufacture of drugs,Number,17.0
500,2004,Possession of drugs for sale or supply,Number,575.0
501,2004,Possession of drugs for personal use,Number,2198.0
502,2004,Other drug offences,Number,119.0
503,2004,Weapons and Explosives Offences,Number,497.0
504,2004,"Explosives, chemical weapons offences",Number,5.0
505,2004,Discharging a firearm,Number,60.0
506,2004,Possession of a firearm,Number,93.0
507,2004,Offensive weapons offences (n.e.c.),Number,339.0
508,2004,Fireworks offences,Number,0.0
509,2004,Damage to property and to the environment,Number,9344.0
510,2004,Arson,Number,361.0
511,2004,Criminal damage (not arson),Number,8963.0
512,2004,Litter offences,Number,20.0
513,2004,Public order and other social code offences,Number,11693.0
514,2004,Disorderly conduct,Number,9445.0
515,2004,Trespass offences,Number,390.0
516,2004,Liquor licensing offences,Number,1549.0
517,2004,Prostitution offences,Number,61.0
518,2004,"Regulated betting/money, collection/trading offences",Number,76.0
519,2004,Social code offences (n.e.c.),Number,172.0
520,2004,"Offences against government, justice procedures and organisation of crime",Number,1549.0
521,2004,Offences against government and its agents,Number,35.0
522,2004,Organisation of crime and conspiracy to commit crime,Number,3.0
523,2004,Perverting the course of justice,Number,80.0
524,2004,"Offences while in custody, breach of court orders",Number,1431.0
525,2004,Homicide offences,Number,30.0
526,2004,Murder,Number,6.0
527,2004,Manslaughter,Number,5.0
528,2004,Infanticide,Number,0.0
529,2004,Dangerous driving leading to death,Number,19.0
530,2004,Sexual offences,Number,264.0
531,2004,Rape of a male or female,Number,81.0
532,2004,Defilement of a boy or girl less than 17 years old,Number,19.0
533,2004,Sexual offence involving mentally impaired person,Number,0.0
534,2004,Aggravated sexual assault,Number,1.0
535,2004,Sexual assault (not aggravated),Number,156.0
536,2004,Other sexual offences,Number,7.0
537,2004,"Attempts/threats to murder, assaults, harassments and related offences",Number,3193.0
538,2004,Murder-attempt,Number,0.0
539,2004,Threat to kill or cause serious harm,Number,11.0
540,2004,Harassment and related offences,Number,218.0
541,2004,"Assault causing harm, poisoning",Number,900.0
542,2004,Other assault,Number,2064.0
543,2004,Dangerous or negligent acts,Number,3677.0
544,2004,Dangerous driving causing serious bodily harm,Number,7.0
545,2004,Driving/in charge of a vehicle while over legal alcohol limit,Number,3572.0
546,2004,Driving/in charge of a vehicle under the influence of drugs,Number,16.0
547,2004,Endangerment with potential for serious harm/death,Number,9.0
548,2004,"Abandoning a child, child neglect and cruelty",Number,38.0
549,2004,Unseaworthy/dangerous use of boat or ship,Number,0.0
550,2004,False alarm/interference with aircraft or air transport facilities,Number,3.0
551,2004,Endangering traffic offences,Number,32.0
552,2004,Kidnapping and related offences,Number,12.0
553,2004,False imprisonment,Number,10.0
554,2004,Abduction of person under 16 years of age,Number,2.0
555,2004,Human trafficking offences,Number,0.0
556,2004,"Robbery, extortion and hijacking offences",Number,652.0
557,2004,Robbery of an establishment or institution,Number,320.0
558,2004,Robbery of cash or goods in transit,Number,15.0
559,2004,Robbery from the person,Number,294.0
560,2004,Blackmail or extortion,Number,6.0
561,2004,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,17.0
562,2004,Burglary and related offences,Number,6205.0
563,2004,Aggravated burglary,Number,70.0
564,2004,Burglary (not aggravated),Number,6090.0
