"STATISTIC Label","Quarter","Type of Offence","UNIT","VALUE"
"Recorded crime incidents (Under Reservation)","2003Q3","Cultivation or manufacture of drugs","Number","33"
"Recorded crime incidents (Under Reservation)","2003Q3","Possession of drugs for sale or supply","Number","559"
"Recorded crime incidents (Under Reservation)","2003Q3","Possession of drugs for personal use","Number","1910"
"Recorded crime incidents (Under Reservation)","2003Q3","Other drug offences","Number","105"
"Recorded crime incidents (Under Reservation)","2003Q3","Weapons and Explosives Offences","Number","479"
"Recorded crime incidents (Under Reservation)","2003Q3","Explosives, chemical weapons offences","Number","7"
"Recorded crime incidents (Under Reservation)","2003Q3","Discharging a firearm","Number","56"
"Recorded crime incidents (Under Reservation)","2003Q3","Possession of a firearm","Number","76"
"Recorded crime incidents (Under Reservation)","2003Q3","Offensive weapons offences (n.e.c.)","Number","340"
"Recorded crime incidents (Under Reservation)","2003Q3","Fireworks offences","Number","0"
"Recorded crime incidents (Under Reservation)","2003Q3","Damage to property and to the environment","Number","8089"
"Recorded crime incidents (Under Reservation)","2003Q3","Arson","Number","350"
"Recorded crime incidents (Under Reservation)","2003Q3","Criminal damage (not arson)","Number","7718"
"Recorded crime incidents (Under Reservation)","2003Q3","Litter offences","Number","21"
"Recorded crime incidents (Under Reservation)","2003Q3","Public order and other social code offences","Number","11875"
"Recorded crime incidents (Under Reservation)","2003Q3","Disorderly conduct","Number","10023"
"Recorded crime incidents (Under Reservation)","2003Q3","Trespass offences","Number","403"
"Recorded crime incidents (Under Reservation)","2003Q3","Liquor licensing offences","Number","960"
"Recorded crime incidents (Under Reservation)","2003Q3","Prostitution offences","Number","64"
"Recorded crime incidents (Under Reservation)","2003Q3","Regulated betting/money, collection/trading offences","Number","81"
"Recorded crime incidents (Under Reservation)","2003Q3","Social code offences (n.e.c.)","Number","344"
"Recorded crime incidents (Under Reservation)","2003Q3","Offences against government, justice procedures and organisation of crime","Number","1719"
"Recorded crime incidents (Under Reservation)","2003Q3","Offences against government and its agents","Number","44"
"Recorded crime incidents (Under Reservation)","2003Q3","Organisation of crime and conspiracy to commit crime","Number","0"
"Recorded crime incidents (Under Reservation)","2003Q3","Perverting the course of justice","Number","80"
"Recorded crime incidents (Under Reservation)","2003Q3","Offences while in custody, breach of court orders","Number","1595"
"Recorded crime incidents (Under Reservation)","2003Q4","Homicide offences","Number","21"
"Recorded crime incidents (Under Reservation)","2003Q4","Murder","Number","7"
"Recorded crime incidents (Under Reservation)","2003Q4","Manslaughter","Number","2"
"Recorded crime incidents (Under Reservation)","2003Q4","Infanticide","Number","0"
"Recorded crime incidents (Under Reservation)","2003Q4","Dangerous driving leading to death","Number","12"
"Recorded crime incidents (Under Reservation)","2003Q4","Sexual offences","Number","276"
"Recorded crime incidents (Under Reservation)","2003Q4","Rape of a male or female","Number","70"
"Recorded crime incidents (Under Reservation)","2003Q4","Defilement of a boy or girl less than 17 years old","Number","22"
"Recorded crime incidents (Under Reservation)","2003Q4","Sexual offence involving mentally impaired person","Number","5"
"Recorded crime incidents (Under Reservation)","2003Q4","Aggravated sexual assault","Number","3"
"Recorded crime incidents (Under Reservation)","2003Q4","Sexual assault (not aggravated)","Number","163"
"Recorded crime incidents (Under Reservation)","2003Q4","Other sexual offences","Number","13"
"Recorded crime incidents (Under Reservation)","2003Q4","Attempts/threats to murder, assaults, harassments and related offences","Number","3073"
"Recorded crime incidents (Under Reservation)","2003Q4","Murder-attempt","Number","1"
"Recorded crime incidents (Under Reservation)","2003Q4","Threat to kill or cause serious harm","Number","4"
"Recorded crime incidents (Under Reservation)","2003Q4","Harassment and related offences","Number","246"
"Recorded crime incidents (Under Reservation)","2003Q4","Assault causing harm, poisoning","Number","835"
"Recorded crime incidents (Under Reservation)","2003Q4","Other assault","Number","1987"
"Recorded crime incidents (Under Reservation)","2003Q4","Dangerous or negligent acts","Number","3207"
"Recorded crime incidents (Under Reservation)","2003Q4","Dangerous driving causing serious bodily harm","Number","3"
"Recorded crime incidents (Under Reservation)","2003Q4","Driving/in charge of a vehicle while over legal alcohol limit","Number","3096"
"Recorded crime incidents (Under Reservation)","2003Q4","Driving/in charge of a vehicle under the influence of drugs","Number","19"
"Recorded crime incidents (Under Reservation)","2003Q4","Endangerment with potential for serious harm/death","Number","11"
"Recorded crime incidents (Under Reservation)","2003Q4","Abandoning a child, child neglect and cruelty","Number","34"
"Recorded crime incidents (Under Reservation)","2003Q4","Unseaworthy/dangerous use of boat or ship","Number","0"
"Recorded crime incidents (Under Reservation)","2003Q4","False alarm/interference with aircraft or air transport facilities","Number","2"
"Recorded crime incidents (Under Reservation)","2003Q4","Endangering traffic offences","Number","42"
"Recorded crime incidents (Under Reservation)","2003Q4","Kidnapping and related offences","Number","14"
"Recorded crime incidents (Under Reservation)","2003Q4","False imprisonment","Number","8"
"Recorded crime incidents (Under Reservation)","2003Q4","Abduction of person under 16 years of age","Number","6"
"Recorded crime incidents (Under Reservation)","2003Q4","Human trafficking offences","Number","0"
"Recorded crime incidents (Under Reservation)","2003Q4","Robbery, extortion and hijacking offences","Number","673"
"Recorded crime incidents (Under Reservation)","2003Q4","Robbery of an establishment or institution","Number","226"
"Recorded crime incidents (Under Reservation)","2003Q4","Robbery of cash or goods in transit","Number","11"
"Recorded crime incidents (Under Reservation)","2003Q4","Robbery from the person","Number","395"
"Recorded crime incidents (Under Reservation)","2003Q4","Blackmail or extortion","Number","3"
